Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,,,0.05784061696658098,0.04044086313098051,0.0699037152304999,0.0708607886204372,0.09368375327542823,0.09354305425296856,0.10603947192959061,0.11751431074834232,0.12717230596672502,0.1172222650676744,0.12004985966370167,0.12102194813077459,0.10508868309527546,0.11110286989505462,0.11257672644964906,0.09813096949661633,0.09029651977936774,0.08364512428298279,0.07686151793007444,0.08757450616480729,0.0909097961637672,0.10505904073169554,0.10256729213089504,0.13218728590487866,0.1343774160989859,0.1356559584097099,0.15203920427663242,0.14640902205633025,0.13599871090923463,0.14358742080803533,0.15694045643391707,0.1502495608559583,0.126723191708794,0.19335680163272162
Libya,,,,,,,,,,0.11687259469313348,0.14213518635502212,0.11525204653166739,0.10267774699907664,0.06296813507680589,0.052401348765150825,0.04835924006908463,0.048999725952315706,0.05023896854507058,0.03587782865780465,0.028092038848470082,0.030918362659071073,,,,0.08197794549448638,0.07162137205040416,0.10906787784726342,,,,,,,,,
Morocco,,,0.14500213794691316,0.1580369843527738,0.15112961788945883,0.15810920945395274,0.1629825653798257,0.16003961892846438,0.17613953748184558,0.1778011642932314,0.17034282137202195,0.1213568980975424,0.10904244856209921,0.14526589979371352,0.1249913488822756,0.13397430966848703,0.12266548632132046,0.10512856442233588,0.11060904195779477,0.10652542464392539,0.10411118865488914,0.10812033575943389,0.10913528591352858,0.09756431949951475,0.09832848277409567,0.11556215358914615,0.11078307233092348,0.10417621519276599,0.10444783017841253,0.10592541288624464,0.10489648333575195,0.10473610517472623,0.11655205887435326,0.12005266787886387,0.1183592649268006,0.11122039040138103
Tunisia,,,,0.06326852338413032,0.06329051383399209,0.06191646191646191,0.064017895185343,0.06258201466615206,0.06674141797481456,0.06709010840108401,0.0661689961880559,0.061788736504231105,0.061376801832143335,0.060453179769654475,0.058983905837136676,0.06026406429391503,0.05905310300703774,0.06006522383634747,0.060339168490153174,0.051545461998852175,0.051974642961235794,0.05029016090741229,0.05150885150885151,0.05329487111628645,0.05079001384314287,0.050644499178981936,0.06526302424986245,0.07795991235900349,0.08176005553198874,0.07073337200969183,0.06890157358839866,0.08070218917802562,0.07855481244547834,0.07919697946403904,0.07046129479311028,0.07045826052646412
Angola,,,,,,,,,0.060329203539823004,0.13875464190981432,0.06233867660764212,0.2737551733652166,0.12883321607598278,0.10788630672263826,0.09191732490024213,0.1093456471998495,0.11647001444409011,0.13918938680486906,0.12290914735902513,0.08167263888015759,0.06784488351687297,0.1046414628316469,0.10604476554285883,0.08704535906608445,0.086986152300512,0.12025082384033352,0.12887733099451934,0.11479843443189858,0.12399973684499073,0.10414083681545346,0.09503912686509149,0.08523622860812534,0.07462364416983276,0.06679816567571736,0.058412652280268346,0.05528156216330179
Benin,,0.10465183140704963,0.09239343991065703,,,,,,,,,0.04516935424187355,0.026394731794642287,0.02317345130609834,0.0407497852552427,0.047291185753992555,0.05061166462205203,0.04816420068791412,0.051186555578338615,,0.045634751940547606,,,,0.04931580266763483,0.04614196726438699,0.04927569782945138,0.04398737501840972,0.043661346287300486,0.05176336052451017,0.03822926118816864,0.03241634178037687,0.02405548085933635,0.027745403576507795,0.031820901337117895,0.03753952777484979
Botswana,0.09937681159420289,0.09505621844882974,0.10182136602451838,0.10327772835112692,0.0989727200843437,0.10114545863309352,0.10226978095663836,0.09059052403467298,0.0772697205225732,0.08009499726626572,0.08556251397897563,0.07521580663725301,0.08169209431345353,0.08986357984053837,0.09004296626352641,0.09154583435733596,0.08478110797906001,0.08226519963702358,0.08071135430916554,0.0757865689078677,0.06455903271692745,0.05981894150417827,0.06165890100736653,0.06425209475535326,0.061137568735271014,0.06167625209681285,0.06147160034807373,0.07141478745106689,0.09964904486894713,0.0927105988731526,0.08149107472213757,0.08459592098825831,0.08662855718769026,0.08660596927206808,0.08094647942450704,0.07826500148983474
Burkina Faso,0.11991439212069585,0.1601451562006942,0.13144823407697012,0.1161707724574313,0.11246467555279398,0.09415325792576072,0.07961594783259798,0.07087144920558497,0.06463926188767057,0.06992550602757862,0.06342017088061493,0.057581358875259066,0.06244198398040135,0.05877563815104903,0.06051090831779674,0.060974349434695437,0.05958411319264385,0.059449765329873706,0.050750385181245646,0.06198865626664492,0.06685714139877702,0.06286339222888235,0.05655862559197954,0.05631731405633536,0.05188069229287621,0.04893343031228016,0.06079707931924818,0.061436917200314564,0.053871777571104666,0.051953023255813954,0.07949441224487885,0.09527545462392165,0.08787844906760373,0.08368536795738714,0.09212090580899245,0.15105100584661516
Burundi,,,0.17281877484456223,0.16379255757012895,0.11853051930992207,0.13827598661997267,0.2010518721045037,0.16361995737199933,0.20601409260472517,0.2911908101248915,0.28338990356123056,0.24756130399659493,0.1972922447976299,0.23902615768155444,0.22608648619412067,0.15173429065833313,0.12016657909588029,0.13385276196184198,0.09628083864796587,0.0876318413181508,0.06610091066716157,,,,0.06731240998369814,0.07139667164561928,0.08074710954751929,0.09199416213347486,0.09936770120037268,0.08312272046249074,0.08261048566845071,0.09759182270013442,0.07423964695944975,0.06724939520344062,0.06703755620805642,0.10229630805788403
Cameroon,,,,,,,,,,,,,0.08008987510742954,0.07778555574526207,0.0850019680258607,0.08986482052628127,0.08774837173313701,0.09205194398810922,0.09835135471496445,0.09222676948820559,0.07890862131203384,0.08392620438258565,0.08483797304227506,0.06364800919222542,0.0685246125124492,0.060654236567742575,0.05507783563931761,0.05475635379788735,0.05679760474304391,0.05920565524633769,0.05993622791370949,0.05703580771934678,0.05812162471013915,0.057701539956028065,0.054995185032329065,0.05625886215064336
Cape Verde,,,,,,,0.015876603197920783,0.024451507074020915,0.017916221306051815,0.019345690266383067,0.023345278246205737,0.02081909891081548,0.02738343537643814,0.024266610061558058,0.01826929709595089,0.022340846184262554,0.01945736697341166,0.01936060671455437,0.016936996579499063,0.017784694047685214,0.019876309912386186,0.014689041578576463,0.012642131839374897,0.01572052401746725,0.01602270330386761,0.01566938971648246,0.01773926341276921,0.017775061614603162,0.020641445694865583,0.01681427264409881,0.01764411381024574,0.015711614786630367,0.017871650396383415,0.017752555265034463,0.017146164401046653,0.017446455876636
Central African Republic,,,,0.0679529359281771,0.07033569046336516,0.0717623542182391,0.05606249527695911,0.056391336429532535,0.10310862846849228,,,,,,0.06533857549057465,0.1029338930685597,0.08831407446761412,0.06745184680681413,,0.08460877677507551,0.09670632418651827,0.10925671158197901,0.13963186026429983,0.14468215910488136,0.1174574127398477,0.21150049578803498,0.11265692114193503,0.11281428571428571,0.12143407570174032,0.09690401362665835,0.07611080944025346,0.10583758930904807,0.07403313955512236,0.10923092749130045,0.09696503066803379,0.12719932230282574
Chad,,,,,,,,0.07674714884342046,0.08775566611387507,0.06104391385885641,0.06196433463349727,0.07215531851818704,0.07480314960629922,0.08707482993197278,0.08526578665715304,0.06837115771330077,0.07928071311071389,0.07228124243726324,0.21501807184480343,0.26293714180982525,0.31312577981242184,0.3295831325984074,0.23670935195964302,0.22398168908819133,,0.2452239744185411,0.12769710772633325,0.11007613529173965,0.2113650438454118,0.14766433454052907,0.17200972643485088,0.14932422455201647,0.15417935589872953,0.1494797518440721,0.14595811023399857,0.1534098233853294
"Congo, DR",,,,,,,,,0.14933333333333335,0.12669735327963177,0.03471208434712084,0.12164572355087151,0.08847749176528,,,0.09586876183036386,0.17939047109452233,0.15823342522454062,0.15669636520555946,0.1259631705668616,0.06927662341683956,0.05262682746791145,0.053497942386831275,0.06608048972810941,0.08259880779712564,0.08989948817530975,0.05139211741188574,0.07518945498119912,0.07364426580546805,0.07423496449764559,0.050951799884487975,0.05209112202858573,0.05807707336429853,0.03428104067364765,0.03251998790071819,0.0696315015321446
"Congo, Republic",,,,,0.11686595387221718,0.11097587169757285,,,,,,,,0.06163423139051125,0.06607581019294459,0.09004176386236429,0.10005180478737183,0.06861640554706211,0.05893059080183429,0.06704591798516842,0.07408292317739444,,0.07229489021822677,,,0.0482282197624506,0.08114016707177381,,0.1184026286059796,0.11948005055064091,0.11127919484238726,0.10650055746764266,0.12322917713252285,0.11179079783433013,0.08351348900932846,0.08891157652190013
Cote d'Ivoire,,,,,,,,,,0.03804306920342881,,,,,,0.07943025792377775,0.08113900796080832,0.07781779535927259,0.07513705256368915,0.07753836924461331,0.07551309594551356,0.08700912440779084,0.07791551696153222,0.07630883417813179,0.06818567264445047,0.06274781427221172,0.0701849128540305,0.07537628635346758,0.07086409961533886,0.053337136441015606,0.059178389362857596,0.051614785352705285,0.04728266753274873,0.04283741885476214,0.039179417150305706,0.03970674880770743
Djibouti,,,0.1622224177887295,0.17670619895484557,0.1436193222782985,0.1343930284072929,0.14380944852844307,0.1568639141451781,0.14936266447368418,0.15045912511159293,0.15397592706744964,0.14991022773805399,0.14362191032169916,0.1532119808042363,0.1697274320016084,0.18330740164480996,0.14952814252573254,0.1718366642951081,0.19220268646936772,0.10909624413145541,0.09107965301912915,,,,,,,,,,,,,,,
