Country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02792399,0.024634444,0.023355315,0.021036762,0.019138856,,,,0.009925925,0.007565805,0.008388786,0.012650809,0.008441753,0.008310075,0.008585404,0.008385432,0.011540259,0.007536152,0.006654803,0.006487536,0.006309784,0.006494972,0.005647412,0.004812598,0.005486013,0.004499085,0.004514259,0.004769965,0.005060097,0.004836642,0.004925962,0.00510089,0.00550048,0.004705185,0.004858965,0.00431865,0.006188188,0.005614289,0.004572942,0.005282319
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015680693,0.016421253,0.014970878,0.012558827,0.011667819,0.012101921,,,,,,0.010869556,0.012638544,0.01153088,0.010897599,,0.010890772,0.01549881,0.017479707,0.024099602,0.020484012,0.017028465,0.028339083,0.020296544,0.015753199,0.014716325,0.013427019,0.013400547,0.017900541,0.01859142,0.02150302,0.017086872,0.02285433
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047288777,0.043575697,0.036630037,0.045700379,0.029453818,0.052536232,0.039352864,0.019750739,,0.018771331,0.02679218,0.018775759,0.013856173,0.015446363,0.010758651,0.009229573,0.013652238,0.01362045,0.013540217,0.015244748,0.013225227,0.01011625,0.00831978,0.029956265,0.044859488,0.058851523,0.079556617,0.057649307,0.050101003,,0.055923113,0.02806514,0.020188228,0.030364717,0.021972579,0.022950108,0.021354032,0.030051644,0.028096164,0.027481796,0.029084987
"Congo, DR",,,,,,,,,,,,,,,,,3.91E-07,,4.31E-07,,4.22E-07,4.17E-07,5.52E-07,4.86E-07,4.03E-07,3.49E-07,5.27E-07,4.53E-07,3.36E-07,3.49E-07,3.27E-07,2.97E-07,,,,,,,,,,,,,,0.052260857,,,0.015468011,0.014108511,0.004284542,0.011581507,0.002202608,,,0.008806457,0.013366044,0.013807955,0.014192054,0.012261243,0.008085425,0.006562398,0.008517313,0.009241091,0.011345503,0.01146178,0.009502471,0.012956397,0.010661082,0.007704671,0.006239125,0.007007955,0.007433103,0.005429702,0.005788944,0.011643969
"Congo, Republic",,,,,,,,,,,,,,,,,,,,,,,0.048604027,0.04600243,0.035296703,0.042202729,0.042408759,0.044974937,0.047318339,0.049532196,0.043197176,0.043937132,0.033659822,0.031870962,0.033450457,,0.022531038,0.025751957,,0.043741674,,,,,0.038292886,0.036448691,,,,,,,,0.017922245,0.021233524,0.024322934,0.024401799,0.015181379,0.015693429,0.019162889,0.017902794,,0.016625904,,,0.020444755,0.039403573,,0.045948061,0.031781347,0.019792812,0.021462766,0.026011873,0.023403489,0.019079849,0.020004562
Cote d'Ivoire,,,,,,,,,,,,,,,0.012755344,0.009989889,0.011439299,0.013196995,0.012635659,0.013126587,0.0116049,0.011487965,0.011810075,0.01500341,0.016956337,0.011303426,0.013396482,0.011784302,0.011188861,0.007947686,0.010980931,0.011237723,0.011642867,0.01091036,0.011421677,0.011150466,0.010255904,0.009969695,0.010535287,0.012170988,0.012491406,0.013303747,0.009647747,0.009940039,0.010170868,0.00973501,0.007315979,,0.006118145,0.005772045,,,,,,0.010067518,0.010960734,0.010580653,0.010865796,0.01150833,0.011017047,0.012517357,0.011271051,0.010070579,0.011006639,0.009950191,0.010677847,0.012439272,0.012573796,0.009831978,0.010483682,0.009156126,0.009894826,0.009106331,0.008888863,0.008861387
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000209424,0.000175055,0.005355396,0.01415326,0.07485064,0.076596932,,,,,,,,0.066508845,0.067600281,0.061587372,0.057574447,0.05791646,0.050804788,0.054749861,0.056508745,0.054780897,0.050691012,,,,0.056071791,0.045077568,0.045876342,0.029010749,0.026275825,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01986423,0.020456169,,,,,,,,,,,,0.015018259,0.014823091,0.024749296,,,,,0.00766178,0.01041432,0.012394898,0.011289371,0.01142083,0.013080529,0.0164083,0.013453376,0.013031878,0.01590217
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213291139,0.12715942,0.195391124,0.203448191,0.11860415,0.324970666,0.343777685,0.326556712,0.221367916,0.206718784,0.208657453,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,0.018558776,0.019321903,0.024283668,0.029215845,0.032299353,0.031071991,0.02486225,0.021956164,0.020206646,0.018831098,0.019060715,0.019364103,0.019255541,0.027945824,0.044920621,0.041317225,0.039677809,0.048109025,0.06886588,0.087085821,0.07536958,0.075390184,0.071796178,0.079691482,0.068239042,0.066972376,0.068556737,0.085014361,0.102766485,0.096579698,0.057051315,0.034417083,0.030716884,0.028684387,0.022256161,0.021171385,0.033431775,0.072769361,0.095069427,0.076138439,0.043490208,0.037193881,0.032388427,0.030726504,0.028122184,0.023071493,0.018962773,0.01515848,0.012046016,0.011539425,0.010907065,0.008683615,0.008064172,0.007684078,0.007054147,0.006835672,0.006753107,0.00645851,0.005799495,0.005216243,0.004920152,0.008698614,0.007883229
Gabon,,,,,,,,,,,,,,,,,,,,0.011077844,0.010150889,0.013675957,0.014324019,0.014405328,0.015502304,0.013035382,0.006795803,0.007807093,0.006684745,0.010297015,,0.018771331,0.016036275,0.022868032,0.024476407,0.025535866,0.022554942,0.02859047,0.039959277,,,,,,,,,,,,,,0.018014522,0.017939521,0.017831703,0.016683279,0.016131662,0.012486822,0.012826192,,,,0.018716226,0.014624342,0.016198046,0.016040472,0.011448184,0.011850256,0.014475458,0.018113828,0.015536345,0.015865377,0.017200533,0.015409234,0.013175602,0.011532198
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00340909,0.004775016,0.005512259,0.00563939,0.006310866,0.008105313,0.009583923,0.00461266,0.005042433,0.004096505,0.002792198,0.002555575,0.003046157,0.003973075,0.004075759,0.003848338,0.003258331,0.003157936,0.002348621,0.002443808,0.002273886,0.001926214,0.002770274,0.002602424,0.003553184,0.010949177,0.004822054,,,0.007923253,0.007395112,0.012076885,0.010405221,,,0.007158763,0.00769341,0.008093249,0.007685556,0.0069394,0.005843058
Ghana,,,,,,,,,,,0.010035162,0.010308261,0.01706659,0.021030043,0.02001003,0.020163488,0.019219887,0.017326057,0.02226614,,0.026558824,0.025012506,0.021181939,0.017013195,0.014298401,0.013649343,0.015815451,0.017149347,0.015668097,0.012532473,0.008512818,0.006463043,0.007735748,0.007411135,,0.003411795,0.005932119,0.010004431,0.009005168,0.008926273,0.004378805,0.004308465,0.002765104,0.00368975,0.003773472,0.004219516,0.004265867,0.003357477,0.002869036,0.002879382,0.003347077,0.003336711,0.004436304,0.002644528,0.002603056,0.003037583,0.002775709,0.002609671,0.002622135,0.003703329,0.002940335,0.003367579,0.002826877,0.004351545,0.005932086,0.004002946,0.004849891,0.003929151,0.002914125,0.003127013,0.003258762,0.003438182,0.003509492,0.003827419,0.003379464,0.003891575
